file,DER,JER
ralnu,0.4692,0.7355
kmunk,0.5426,0.7627
eziem,0.8449,0.9629
eauve,0.8753,0.98
uevxo,0.9252,0.9895
ooxlj,0.1245,0.7041
fqrnu,0.327,0.5832
qxana,0.8546,0.8162
dzxut,0.9969,0.9911
ybhwz,1.0129,0.9996
wibky,0.0734,0.5323
byapz,0.3595,0.9592
ylgug,0.0892,0.851
szsyz,0.1187,0.6888
sexgc,0.8793,0.797
jyirt,0.3516,0.6246
