File                    DER   MISS     FA   CONF    JER
dbugl                 0.094  1.232  2.884 71.251  0.343
bspxd                 0.195  1.714  0.751 71.520  0.386
wnfoi                 0.338 16.373  1.563 80.345  0.510
jsymf                 0.158 17.299 28.854 108.495  0.520
ledhe                 0.068  0.754  4.578 21.851  0.342
cwbvu                 0.956  1.257  0.129 136.454  0.981
bvyvm                 0.115  5.997  3.142  2.983  0.322
uicid                 0.391 329.493 14.376  8.839  0.846
optsn                 0.299 29.406 63.303 178.597  0.771
mesob                 0.425  0.028  0.319 85.812  0.635
nqyqm                 0.102 33.370 19.031 47.734  0.560
cadba                 0.662 10.823  3.503 104.127  0.631
kefgo                 0.817  3.132  1.844 292.506  0.550
ztzzr                 0.102  4.095 15.334  2.509  0.547
houcx                 0.165 21.673  2.629 23.553  0.371
gzhwb                 0.772 52.242 38.520 576.993  0.866
cobal                 0.053  3.720  0.040  0.271  0.092
udjij                 0.282 10.594 13.599 129.661  0.606
nqcpi                 0.310  0.646  0.827 27.863  0.617
lfzib                 0.161  6.055  1.213 36.806  0.354
asxwr                 0.184  7.296  0.320 36.906  0.576
afjiv                 0.183 13.520  1.520  7.630  0.376
euqef                 0.569  0.514  0.315 13.532  0.854
pxqme                 0.165  1.431  2.394 57.314  0.832
imtug                 0.042  1.225  1.006  3.560  0.114
lilfy                 0.185 11.000  6.167 14.957  0.246
nctdh                 0.147  0.604  1.534 15.078  0.440
jgiyq                 0.105 22.173 35.908 55.252  0.659
kszpd                 0.169  0.338  0.976 26.528  0.388
pgtkk                 0.217  1.386  4.798 41.714  0.543
neiye                 0.027  0.050  1.238  0.000  0.027
mekog                 0.116  3.426  3.762 95.404  0.609
mevkw                 0.256  0.620  0.000 30.609  0.243
utial                 0.188  8.522  4.354 213.008  0.599
ndkwv                 0.117  3.264  2.192 83.514  0.241
djngn                 0.127  0.509  0.937 19.466  0.450
pzxit                 0.180 15.566  7.396 86.058  0.375
iiprr                 0.143 13.085 73.676 68.262  0.336
hkzpa                 0.066  6.656  4.290 51.218  0.404
qrzjk                 0.019  0.009  0.726  0.000  0.019
goyli                 0.106  7.727  1.549 61.389  0.304
ikgcq                 0.092  5.898  1.296  2.680  0.531
wewoz                 0.415  0.143  2.997 47.340  0.723
oubab                 0.413 24.818  5.723 198.901  0.797
ulriv                 0.464  1.507  0.452 250.212  0.574
aggyz                 0.499  0.749  6.287 117.454  0.591
mpvoh                 0.405  4.389  0.438 53.976  0.759
atgpi                 0.006  0.070  0.691  0.000  0.006
fxnwf                 0.529 25.330 27.098 124.954  0.832
kckqn                 0.170  1.261  1.200 59.958  0.511
rxgun                 0.240  0.405  2.694 53.222  0.450
leneg                 0.188  4.867 21.588 38.926  0.673
qsfzo                 0.110  0.000  0.561 15.159  0.441
xkgos                 0.103 11.394 29.059 61.938  0.476
sebyw                 0.211 49.599  4.865 192.348  0.500
vdlvr                 0.109  2.566 28.458 97.212  0.327
jhdav                 0.107  0.718  0.813 13.202  0.251
kklpv                 0.050  2.091  2.992 34.665  0.408
ljpes                 0.541  3.513  6.026 89.867  0.738
ouvtt                 0.804 22.897 23.748 523.460  0.957
heolf                 0.620 11.282 46.394 630.001  0.384
jjkrt                 0.214 17.639 18.812 176.948  0.611
tguxv                 0.104  0.277  2.562 21.888  0.412
gqbvk                 0.028  0.750  1.515  2.034  0.046
zajzs                 0.052  0.365  0.122  9.833  0.144
irvat                 0.154  1.536  0.180 36.314  0.405
zowse                 0.171 20.836 66.393 90.630  0.508
azisu                 0.481 10.351  0.160 97.051  0.749
nrogz                 0.439 10.414  6.380 158.534  0.594
uvnmy                 0.993  3.794  0.826 161.511  0.980
tpslg                 0.124  1.122 10.994 40.823  0.371
mbzht                 0.267  6.007  1.905 26.556  0.637
dlast                 0.096 18.253  9.549 80.348  0.498
vylyk                 0.987 89.519  0.000  1.220  0.818
kkghn                 0.045  4.930 14.168 12.286  0.809
jsmbi                 0.431  9.521  2.040 33.357  0.677
cvofp                 0.129 16.040 50.839 74.120  0.430
gukoa                 0.613  5.819  5.181 136.317  0.753
aorju                 0.144 27.179 43.909 82.711  0.482
zrlyl                 0.187 21.906 10.823 69.494  0.708
lscfc                 0.331 21.554 34.629 200.286  0.818
wemos                 1.019 130.098 55.810 804.574  0.971
jrfaz                 0.188 18.566  6.224 211.939  0.372
yfcmz                 0.086  0.743  2.314 43.923  0.318
bmsyn                 0.492 46.443 47.155 202.531  0.783
kgjaa                 0.100 23.501 22.987 65.814  0.414
ktzmw                 0.096  1.803  2.476 88.194  0.496
fvyvb                 0.090  9.298  4.553 53.704  0.552
vmbga                 0.563  9.059  9.106 377.057  0.552
jcako                 0.240 42.526 10.899 164.258  0.821
ofbxh                 0.132 77.040  8.893 55.018  0.544
mqxsf                 0.155  8.046  5.360 88.839  0.564
qwepo                 0.248  7.715  2.248 114.854  0.440
fsaal                 0.078  0.829  1.195 12.743  0.354
clfcg                 0.527 14.108 14.219 116.330  0.604
yrsve                 0.917  0.568  0.319 581.080  0.965
tlprc                 0.338  3.358  2.236 41.049  0.635
aiqwk                 0.187  2.547 13.369 17.325  0.560
cwryz                 0.799  0.698  0.396 126.063  0.688
czlvt                 0.124  1.829  1.883 116.674  0.270
gofnj                 0.048  1.444  0.841 16.270  0.332
uedkc                 0.197 21.669 29.690 168.659  0.548
wjhgf                 0.719  0.871  0.560 72.542  0.786
xtzoq                 0.590 14.016  2.968 88.770  0.797
ppgjx                 0.214 14.859  6.615 74.198  0.803
kuduk                 0.123  3.089  0.947 64.963  0.430
eazeq                 0.412  2.286  1.904 37.178  0.735
lpola                 0.418 49.661  9.908 279.646  0.879
tfvyr                 0.018  0.000  0.501  0.000  0.018
gfneh                 0.263 10.671  3.018 28.121  0.436
kkwkn                 0.092  3.320  1.129 38.125  0.290
qajyo                 0.271 22.206  6.870 233.485  0.629
uexjc                 0.143  2.189  1.919 40.212  0.341
luobn                 0.151  3.171  1.223  8.227  0.444
ioasm                 0.664 30.378  4.286 238.224  0.874
gqdxy                 0.347  5.618  1.638 115.581  0.724
hcyak                 0.166  1.991  2.777 45.364  0.426
xkmqx                 0.185  0.000  0.466  9.060  0.585
tucrg                 2.015  1.188  6.998  0.840  0.859
rpkso                 0.143  0.359  6.241 42.150  0.377
xxwgv                 0.122  2.925  4.699 73.373  0.366
imbqf                 0.156  0.884  1.141 54.151  0.408
gzvkx                 0.090  0.137  1.357 19.400  0.354
zyffh                 0.082  2.307  2.268 15.849  0.420
fzwtp                 0.547 13.679 23.235 79.303  0.757
laoyl                 0.303  3.338  8.656 77.602  0.770
ooxnm                 0.079  7.224  1.172 15.300  0.140
zfkap                 0.112  6.572  0.076  4.852  0.207
thnuq                 0.151 40.724 49.719 50.037  0.528
ifwki                 0.197  7.688 14.493 51.381  0.726
bdopb                 0.104 11.397  4.816 77.864  0.493
lkikz                 0.073 18.807 11.883 52.753  0.574
fvhrk                 0.076 27.317 34.104 24.332  0.607
nitgx                 0.286 12.790 36.230 285.505  0.503
nkqzr                 0.672 36.769 14.724 666.689  0.721
mdbod                 0.051 14.734  2.901 12.846  0.073
gocbm                 0.072  3.345  1.048 13.951  0.135
dvngl                 0.265  3.328  1.181 115.932  0.631
ryken                 0.078  2.990  3.669 85.587  0.439
rtvuw                 0.477  0.000  1.391 29.640  0.737
luvfz                 0.408  3.521  0.884 74.609  0.647
ufpel                 0.968 23.078  4.533 202.857  0.984
ypwjd                 0.155  4.100 10.749 20.652  0.339
grzbb                 0.147 26.487  2.143 35.056  0.878
bkwns                 0.955  0.030  0.304 46.090  0.975
qygfk                 0.313  2.412  0.414 151.359  0.586
onpra                 0.119  4.683  3.068 22.019  0.500
pgkde                 0.126 10.350  1.252 25.573  0.389
mxduo                 0.150 22.185 67.551 63.433  0.575
fxgvy                 0.035  0.000  0.048  1.809  0.053
gkiki                 0.209  8.620  0.395 13.838  0.344
upshw                 0.091  4.131  5.129 42.866  0.334
